"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","createCourierWithoutLoginTest","","","passed","","","ru.yandex.samokat.CreateCourierTest","ru.yandex.samokat.CreateCourierTest",""
"","331","createOrderTest[Только BLACK цвет]","","","passed","","","ru.yandex.samokat.CreateOrderTest","ru.yandex.samokat.CreateOrderTest",""
"","1024","loginWithNonExistentLoginTest","","","passed","","","ru.yandex.samokat.LoginCourierTest","ru.yandex.samokat.LoginCourierTest",""
"","1045","loginWithWrongPasswordTest","","","passed","","","ru.yandex.samokat.LoginCourierTest","ru.yandex.samokat.LoginCourierTest",""
"","347","createOrderTest[Оба цвета BLACK и GREY]","","","passed","","","ru.yandex.samokat.CreateOrderTest","ru.yandex.samokat.CreateOrderTest",""
"","1091","loginWithoutPasswordTest","","","passed","","","ru.yandex.samokat.LoginCourierTest","ru.yandex.samokat.LoginCourierTest",""
"","302","createOrderTest[Без указания цвета]","","","passed","","","ru.yandex.samokat.CreateOrderTest","ru.yandex.samokat.CreateOrderTest",""
"","1129","loginWithoutLoginTest","","","passed","","","ru.yandex.samokat.LoginCourierTest","ru.yandex.samokat.LoginCourierTest",""
"","1089","createCourierSuccessTest","","","passed","","","ru.yandex.samokat.CreateCourierTest","ru.yandex.samokat.CreateCourierTest",""
"","282","createCourierWithoutPasswordTest","","","passed","","","ru.yandex.samokat.CreateCourierTest","ru.yandex.samokat.CreateCourierTest",""
"","8871","createDuplicateCourierTest","","","passed","","","ru.yandex.samokat.CreateCourierTest","ru.yandex.samokat.CreateCourierTest",""
"","11411","getOrdersListTest","","","passed","","","ru.yandex.samokat.OrderListTest","ru.yandex.samokat.OrderListTest",""
"","361","createOrderTest[Только GREY цвет]","","","passed","","","ru.yandex.samokat.CreateOrderTest","ru.yandex.samokat.CreateOrderTest",""
"","1118","loginCourierSuccessTest","","","passed","","","ru.yandex.samokat.LoginCourierTest","ru.yandex.samokat.LoginCourierTest",""
